SRA553822,SRS2119548,Cultured embryonic stem cells,10x chromium,Homo sapiens,6501,view
SRA598936,SRS2428405,Kidney cortex,10x chromium,Homo sapiens,3759,view
SRA608611,SRS2517316,Lung progenitors,10x chromium,Homo sapiens,1077,view
SRA608611,SRS2517317,Lung progenitors,10x chromium,Homo sapiens,906,view
SRA711898,SRS3349280,Tonsil,10x chromium,Homo sapiens,3503,view
SRA605557,SRS2493625,Cd14+ monocytes,10x chromium,Homo sapiens,411,view
SRA605557,SRS2493626,Cd14+ monocytes,10x chromium,Homo sapiens,409,view
SRA678017,SRS3112005,Embryonic kidney cortex,10x chromium,Homo sapiens,4231,view
SRA678017,SRS3112006,Embryonic kidney cortex,10x chromium,Homo sapiens,3800,view
SRA695134,SRS3218229,Alveolar rhabdomyosarcoma,10x chromium,Homo sapiens,8992,view
SRA550660,SRS2089635,Peripheral blood mononuclear cells,10x chromium,Homo sapiens,1860,view
SRA550660,SRS2089636,Peripheral blood mononuclear cells,10x chromium,Homo sapiens,1580,view
SRA550660,SRS2089637,Peripheral blood mononuclear cells,10x chromium,Homo sapiens,"10,292",view
SRA550660,SRS2089638,Peripheral blood mononuclear cells,10x chromium,Homo sapiens,1818,view
SRA550660,SRS2089639,Peripheral blood mononuclear cells,10x chromium,Homo sapiens,"10,940",view
SRA646572,SRS2833946,Human embryo forebrain,10x chromium,Homo sapiens,6943,view
SRA646572,SRS2833947,Human embryo forebrain,10x chromium,Homo sapiens,4127,view
SRA628554,SRS2664364,Peripheral blood mononuclear cell,10x chromium,Homo sapiens,3352,view
SRA628554,SRS2664365,Peripheral blood mononuclear cell,10x chromium,Homo sapiens,3081,view
SRA608353,SRS2517519,Hepatocellular carcinoma,10x chromium,Homo sapiens,1230,view
SRA608353,SRS2517521,Hepatocellular carcinoma,10x chromium,Homo sapiens,2350,view
SRA721637,SRS3416994,B cells,10x chromium,Homo sapiens,1663,view
SRA721637,SRS3416995,Lymph node,10x chromium,Homo sapiens,2619,view
SRA640903,SRS2780388,Melanoma,10x chromium,Homo sapiens,5091,view
SRA640903,SRS2780389,Melanoma,10x chromium,Homo sapiens,4927,view
SRA700673,SRS3270097,Brain,10x chromium,Homo sapiens,3704,view
SRA634975,SRS2724911,Ovarian tumor,10x chromium,Homo sapiens,2547,view
SRA634975,SRS2724912,Ovarian tumor,10x chromium,Homo sapiens,2139,view
SRA634975,SRS2724913,Ovarian tumor,10x chromium,Homo sapiens,2262,view
SRA634975,SRS2724914,Ovarian tumor,10x chromium,Homo sapiens,2094,view
SRA658915,SRS2944101,Tumor,10x chromium,Homo sapiens,906,view
SRA658915,SRS2944102,Tumor,10x chromium,Homo sapiens,1229,view
SRA658915,SRS2944103,Tumor,10x chromium,Homo sapiens,865,view
SRA658915,SRS2944104,Tumor,10x chromium,Homo sapiens,1031,view
SRA658915,SRS2944109,Tumor,10x chromium,Homo sapiens,993,view
SRA658915,SRS2944110,Tumor,10x chromium,Homo sapiens,939,view
SRA658915,SRS2944111,Tumor,10x chromium,Homo sapiens,1197,view
SRA658915,SRS2944112,Tumor,10x chromium,Homo sapiens,1242,view
SRA594999,SRS2397417,Umbilical vein endothelial cells,10x chromium,Homo sapiens,9057,view
SRA594999,SRS2397418,Umbilical vein endothelial cells,10x chromium,Homo sapiens,5929,view
SRA617020,SRS2566664,B cells,10x chromium,Homo sapiens,271,view
SRA617020,SRS2566665,B cells,10x chromium,Homo sapiens,289,view
SRA621638,SRS2610283,Bone marrow,10x chromium,Homo sapiens,1196,view
SRA621638,SRS2610285,Bone marrow,10x chromium,Homo sapiens,835,view
SRA691388,SRS3173555,Breast epithelium,10x chromium,Homo sapiens,4405,view
SRA691388,SRS3173556,Breast epithelium,10x chromium,Homo sapiens,8329,view
SRA691388,SRS3173557,Breast epithelium,10x chromium,Homo sapiens,7397,view
SRA691388,SRS3173558,Breast epithelium,10x chromium,Homo sapiens,9196,view
SRA710104,SRS3334253,Adipose,10x chromium,Homo sapiens,9399,view
SRA710104,SRS3334254,Adipose,10x chromium,Homo sapiens,9107,view
SRA710104,SRS3334255,Adipose,10x chromium,Homo sapiens,9510,view
SRA732346,SRS3496836,Endothelial cells,10x chromium,Homo sapiens,3406,view
SRA732346,SRS3496838,Endothelial cells,10x chromium,Homo sapiens,3683,view
SRA713577,SRS3363004,Peripheral blood mononuclear cells,10x chromium,Homo sapiens,3334,view
SRA704181,SRS3305829,Breast cancer cell line,10x chromium,Homo sapiens,3899,view
SRA704181,SRS3305830,Breast cancer cell line,10x chromium,Homo sapiens,4098,view
SRA704181,SRS3305831,Breast cancer cell line,10x chromium,Homo sapiens,6256,view
SRA704181,SRS3305832,Breast cancer cell line,10x chromium,Homo sapiens,4935,view
SRA701877,SRS3279684,Pancreatic islets,10x chromium,Homo sapiens,2052,view
SRA701877,SRS3279685,Pancreatic islets,10x chromium,Homo sapiens,1123,view
SRA701877,SRS3279686,Pancreatic islets,10x chromium,Homo sapiens,1805,view
SRA701877,SRS3279687,Pancreatic islets,10x chromium,Homo sapiens,2416,view
SRA701877,SRS3279688,Pancreatic islets,10x chromium,Homo sapiens,442,view
SRA701877,SRS3279689,Pancreatic islets,10x chromium,Homo sapiens,1245,view
SRA701877,SRS3279690,Pancreatic islets,10x chromium,Homo sapiens,2492,view
SRA701877,SRS3279691,Pancreatic islets,10x chromium,Homo sapiens,1794,view
SRA701877,SRS3279692,Pancreatic islets,10x chromium,Homo sapiens,2884,view
