,sample,judgment,R1,R2
0,SRS2119548,no_fastq,0,0
1,SRS2428405,no_fastq,0,0
2,SRS2517316,no_fastq,0,0
3,SRS2517317,no_fastq,0,0
4,SRS3349280,no_fastq,0,0
5,SRS2493625,shortR1,26,98
6,SRS2493626,shortR1,26,98
7,SRS3112005,no_fastq,0,0
8,SRS3112006,no_fastq,0,0
9,SRS3218229,no_fastq,0,0
10,SRS2089635,no_fastq,0,0
11,SRS2089636,no_fastq,0,0
12,SRS2089637,no_fastq,0,0
13,SRS2089638,no_fastq,0,0
14,SRS2089639,no_fastq,0,0
15,SRS2833946,no_fastq,0,0
16,SRS2833947,no_fastq,0,0
17,SRS2664364,shortR1,30,100
18,SRS2664365,shortR1,30,100
19,SRS2517519,no_fastq,0,0
20,SRS2517521,no_fastq,0,0
21,SRS3416994,no_fastq,0,0
22,SRS3416995,no_fastq,0,0
23,SRS2780388,no_fastq,0,0
24,SRS2780389,no_fastq,0,0
25,SRS3270097,no_fastq,0,0
26,SRS2724911,shortR1,26,98
27,SRS2724912,shortR1,26,98
28,SRS2724913,shortR1,26,98
29,SRS2724914,shortR1,26,98
30,SRS2944101,no_fastq,0,0
31,SRS2944102,no_fastq,0,0
32,SRS2944103,no_fastq,0,0
33,SRS2944104,no_fastq,0,0
34,SRS2944109,no_fastq,0,0
35,SRS2944110,no_fastq,0,0
36,SRS2944111,no_fastq,0,0
37,SRS2944112,no_fastq,0,0
38,SRS2397417,no_fastq,0,0
39,SRS2397418,no_fastq,0,0
40,SRS2566664,no_fastq,0,0
41,SRS2566665,no_fastq,0,0
42,SRS2610283,no_fastq,0,0
43,SRS2610285,no_fastq,0,0
44,SRS3173555,no_fastq,0,0
45,SRS3173556,no_fastq,0,0
46,SRS3173557,no_fastq,0,0
47,SRS3173558,no_fastq,0,0
48,SRS3334253,longR1,150,150
49,SRS3334254,longR1,150,150
50,SRS3334255,fail,0,0
51,SRS3496836,not_paired,0,0
52,SRS3496838,not_paired,0,0
53,SRS3363004,no_fastq,0,0
54,SRS3305829,shortR1,26,98
55,SRS3305830,shortR1,26,98
56,SRS3305831,shortR1,26,98
57,SRS3305832,shortR1,26,98
58,SRS3279684,no_fastq,0,0
59,SRS3279685,no_fastq,0,0
60,SRS3279686,no_fastq,0,0
61,SRS3279687,no_fastq,0,0
62,SRS3279688,no_fastq,0,0
63,SRS3279689,no_fastq,0,0
64,SRS3279690,no_fastq,0,0
65,SRS3279691,no_fastq,0,0
66,SRS3279692,no_fastq,0,0
67,SRS3279693,no_fastq,0,0
68,SRS3279694,no_fastq,0,0
69,SRS3279695,no_fastq,0,0
70,SRS2737286,no_fastq,0,0
71,SRS2737287,no_fastq,0,0
72,SRS2769050,no_fastq,0,0
73,SRS2769051,no_fastq,0,0
74,SRS3384792,no_fastq,0,0
75,SRS3384793,no_fastq,0,0
76,SRS3384795,no_fastq,0,0
77,SRS3407249,shortR1,26,98
78,SRS2492922,no_fastq,0,0
79,SRS3164178,no_fastq,0,0
80,SRS3164179,no_fastq,0,0
81,SRS3474726,not_paired,0,0
82,SRS3474727,not_paired,0,0
83,SRS3747746,not_paired,0,0
84,SRS3747747,not_paired,0,0
85,SRS3747748,not_paired,0,0
86,SRS3296611,no_fastq,0,0
87,SRS3296612,no_fastq,0,0
88,SRS3296613,no_fastq,0,0
89,SRS3296614,no_fastq,0,0
90,SRS3693061,not_paired,0,0
91,SRS3693908,not_paired,0,0
92,SRS3693909,not_paired,0,0
93,SRS3693910,not_paired,0,0
94,SRS3693911,not_paired,0,0
95,SRS3693912,not_paired,0,0
96,SRS3693913,not_paired,0,0
97,SRS3744979,no_fastq,0,0
98,SRS3744980,no_fastq,0,0
99,SRS3744981,no_fastq,0,0
100,SRS3744982,no_fastq,0,0
101,SRS3744983,no_fastq,0,0
102,SRS3744990,no_fastq,0,0
103,SRS3548780,no_fastq,0,0
104,SRS3548781,no_fastq,0,0
105,SRS3548782,no_fastq,0,0
106,SRS3548783,no_fastq,0,0
107,SRS3805245,no_fastq,0,0
108,SRS3805246,no_fastq,0,0
109,SRS3805247,no_fastq,0,0
110,SRS3805248,no_fastq,0,0
111,SRS3805249,no_fastq,0,0
