SRA570744,SRS2253536,Lung mesenchyme,10x chromium,Mus musculus,4611,view
SRA644036,SRS2808714,Cervical and lumbar spinal cord,10x chromium,Mus musculus,1025,view
SRA670243,SRS3078084,Ventral midbrain,10x chromium,Mus musculus,5603,view
SRA689041,SRS3166675,Colon,10x chromium,Mus musculus,2878,view
SRA611700,SRS2532367,Caudal ganglionic eminence,10x chromium,Mus musculus,7545,view
SRA611700,SRS2532368,Medial ganglionic eminence,10x chromium,Mus musculus,6852,view
SRA611700,SRS2532369,Cortex,10x chromium,Mus musculus,8818,view
SRA611700,SRS2532370,Subcortex,10x chromium,Mus musculus,8574,view
SRA611700,SRS2532371,Cortex,10x chromium,Mus musculus,6590,view
SRA611700,SRS2532373,Subcortex,10x chromium,Mus musculus,4368,view
SRA571721,SRS2259441,Bone marrow stem cells,10x chromium,Mus musculus,3269,view
SRA571721,SRS2259442,Bone marrow stem cells,10x chromium,Mus musculus,4568,view
SRA599311,SRS2431648,Mesenteric,10x chromium,Mus musculus,1601,view
SRA599311,SRS2431649,Mesenteric,10x chromium,Mus musculus,1423,view
SRA508949,SRS1876783,Small intestine,10x chromium,Mus musculus,712,view
SRA508949,SRS1876784,Small intestine,10x chromium,Mus musculus,1035,view
SRA508949,SRS1876785,Small intestine,10x chromium,Mus musculus,473,view
SRA508949,SRS1876786,Small intestine,10x chromium,Mus musculus,766,view
SRA508949,SRS1876787,Small intestine,10x chromium,Mus musculus,637,view
SRA508949,SRS1876788,Small intestine,10x chromium,Mus musculus,830,view
SRA508949,SRS1876789,Small intestine,10x chromium,Mus musculus,639,view
SRA508949,SRS1876790,Small intestine,10x chromium,Mus musculus,1321,view
SRA508949,SRS1876791,Small intestine,10x chromium,Mus musculus,1309,view
SRA508949,SRS1876792,Small intestine,10x chromium,Mus musculus,1429,view
SRA508949,SRS1876793,Small intestine,10x chromium,Mus musculus,1357,view
SRA508949,SRS1876794,Small intestine,10x chromium,Mus musculus,1217,view
SRA508949,SRS1876795,Small intestine,10x chromium,Mus musculus,1128,view
SRA508949,SRS1876796,Small intestine,10x chromium,Mus musculus,913,view
SRA550869,SRS2093772,Aortic leukocytes,10x chromium,Mus musculus,1023,view
SRA550869,SRS2747908,Aortic leukocytes,10x chromium,Mus musculus,398,view
SRA550869,SRS2747909,Aortic leukocytes,10x chromium,Mus musculus,1090,view
SRA578634,SRS2302658,Subventricular zone,10x chromium,Mus musculus,213,view
SRA578634,SRS2302659,Subventricular zone,10x chromium,Mus musculus,246,view
SRA578634,SRS2302660,Subventricular zone,10x chromium,Mus musculus,1076,view
SRA709693,SRS3331501,Bone marrow,10x chromium,Mus musculus,1865,view
SRA709693,SRS3331503,Bone marrow,10x chromium,Mus musculus,1720,view
SRA709693,SRS3331504,Bone marrow,10x chromium,Mus musculus,332,view
SRA667466,SRS3059941,Spinal cord,10x chromium,Mus musculus,4383,view
SRA667466,SRS3059942,Dorsal root ganglion,10x chromium,Mus musculus,3823,view
SRA667466,SRS3059943,Ventral striatum,10x chromium,Mus musculus,584,view
SRA667466,SRS3059944,Hippocampus (ca1),10x chromium,Mus musculus,2458,view
SRA667466,SRS3059945,Dentate gyrus,10x chromium,Mus musculus,3059,view
SRA667466,SRS3059946,Hippocampus (ca1),10x chromium,Mus musculus,2347,view
SRA667466,SRS3059947,Dentate gyrus,10x chromium,Mus musculus,3454,view
SRA667466,SRS3059948,Neo-cortex,10x chromium,Mus musculus,2167,view
SRA667466,SRS3059949,Medulla oblongata,10x chromium,Mus musculus,892,view
SRA667466,SRS3059950,Neo-cortex,10x chromium,Mus musculus,4304,view
SRA667466,SRS3059951,Ventral striatum,10x chromium,Mus musculus,1120,view
SRA667466,SRS3059952,Thalamus,10x chromium,Mus musculus,1633,view
SRA667466,SRS3059953,Hippocampus,10x chromium,Mus musculus,4945,view
SRA667466,SRS3059954,Hippocampus,10x chromium,Mus musculus,5067,view
SRA667466,SRS3059955,Dorsal striatum,10x chromium,Mus musculus,3444,view
SRA667466,SRS3059956,Thalamus,10x chromium,Mus musculus,3447,view
SRA667466,SRS3059957,Dorsal striatum,10x chromium,Mus musculus,3521,view
SRA667466,SRS3059958,Thalamus,10x chromium,Mus musculus,3216,view
SRA667466,SRS3059959,Cerebellum,10x chromium,Mus musculus,1807,view
SRA667466,SRS3059960,Cerebellum,10x chromium,Mus musculus,645,view
SRA667466,SRS3059961,Ventral striatum,10x chromium,Mus musculus,7788,view
SRA667466,SRS3059963,Hippocampus (ca1),10x chromium,Mus musculus,1215,view
SRA667466,SRS3059964,Neo-cortex,10x chromium,Mus musculus,2459,view
SRA667466,SRS3059965,Hypothalamus,10x chromium,Mus musculus,1405,view
SRA667466,SRS3059966,Neo-cortex,10x chromium,Mus musculus,1889,view
SRA667466,SRS3059967,Ventral midbrain,10x chromium,Mus musculus,2759,view
SRA667466,SRS3059968,Amygdala,10x chromium,Mus musculus,980,view
SRA667466,SRS3059969,Ventral midbrain,10x chromium,Mus musculus,3028,view
SRA667466,SRS3059970,Pons,10x chromium,Mus musculus,1974,view
SRA667466,SRS3059971,Hippocampus (ca1),10x chromium,Mus musculus,1177,view
SRA667466,SRS3059972,Neo-cortex,10x chromium,Mus musculus,1144,view
SRA667466,SRS3059973,Pons,10x chromium,Mus musculus,6497,view
SRA667466,SRS3059974,Medulla oblongata,10x chromium,Mus musculus,5656,view
SRA667466,SRS3059975,Dorsal striatum,10x chromium,Mus musculus,2132,view
SRA667466,SRS3059976,Pons,10x chromium,Mus musculus,9015,view
SRA667466,SRS3059977,Neo-cortex,10x chromium,Mus musculus,3211,view
SRA667466,SRS3059978,Thalamus,10x chromium,Mus musculus,2025,view
SRA667466,SRS3059979,Thalamus,10x chromium,Mus musculus,4675,view
SRA667466,SRS3059980,Hypothalamus,10x chromium,Mus musculus,3991,view
SRA667466,SRS3059981,Hypothalamus,10x chromium,Mus musculus,2375,view
SRA667466,SRS3059982,Cerebellum,10x chromium,Mus musculus,1246,view
SRA667466,SRS3059983,Cerebellum,10x chromium,Mus musculus,597,view
SRA667466,SRS3059984,Thalamus,10x chromium,Mus musculus,4192,view
SRA667466,SRS3059985,Thalamus,10x chromium,Mus musculus,3950,view
SRA667466,SRS3059986,Hypothalamus,10x chromium,Mus musculus,2857,view
SRA667466,SRS3059987,Hypothalamus,10x chromium,Mus musculus,2377,view
SRA667466,SRS3059988,Spinal cord,10x chromium,Mus musculus,6423,view
SRA667466,SRS3059989,Spinal cord,10x chromium,Mus musculus,6242,view
SRA667466,SRS3059990,Spinal cord,10x chromium,Mus musculus,5927,view
SRA667466,SRS3059991,Spinal cord,10x chromium,Mus musculus,6839,view
SRA667466,SRS3059992,Medulla oblongata,10x chromium,Mus musculus,8156,view
SRA667466,SRS3059993,Medulla oblongata,10x chromium,Mus musculus,7641,view
SRA667466,SRS3059994,Dorsal root ganglion,10x chromium,Mus musculus,3429,view
SRA667466,SRS3059995,Medulla oblongata,10x chromium,Mus musculus,8174,view
SRA667466,SRS3059996,Pons,10x chromium,Mus musculus,6139,view
SRA667466,SRS3059997,Medulla oblongata,10x chromium,Mus musculus,7841,view
SRA667466,SRS3059998,Hypothalamus,10x chromium,Mus musculus,4026,view
