fastqs	capture	notes
CUBF_miseq/181204_M01918_0422_fastq/181204-Gillen-Hesselberth-696	PT46T_miseq	
CUBF_miseq/PT46-liver	PT46L_miseq	
CUBF_NextSeq/180606_NB501447_0296_fastq/Hesselberth-515/Hesselberth-515-1/PT4-6_liver	PT46L_nextseq	
NJH_hiseq2500/SI-GA-A9_1/HTB1261DX	HTB1261DX_hiseq2500	
NJH_hiseq2500/SI-GA-A9_2/HTB1261DX	HTB1261DX_hiseq2500	
NJH_hiseq2500/SI-GA-A9_3/HTB1261DX	HTB1261DX_hiseq2500	
NJH_hiseq2500/SI-GA-A9_4/HTB1261DX	HTB1261DX_hiseq2500	
NJH_hiseq2500/SI-GA-A10_1/HTB1261RL	HTB1261RL_hiseq2500	
NJH_hiseq2500/SI-GA-A10_2/HTB1261RL	HTB1261RL_hiseq2500	
NJH_hiseq2500/SI-GA-A10_3/HTB1261RL	HTB1261RL_hiseq2500	
NJH_hiseq2500/SI-GA-A10_4/HTB1261RL	HTB1261RL_hiseq2500	
HTB_1261_DX	HTB1261DX_novaseq	
HTB_1261_RL	HTB1261RL_novaseq	
PT46LIVER4/PT46LIVER4	PT46L_hiseq4000	
PT46TUMOR3/PT46TUMOR3	PT46T_hiseq4000	
170511_K00262_0097_AHJN5KBBXX/Brett_51	Brett51_hiseq4000	
170511_K00262_0097_AHJN5KBBXX/Brett_55	Brett55_hiseq4000	
170511_K00262_0097_AHJN5KBBXX_foreman/Foreman_1036	Foreman_1036_hiseq4000	
170511_K00262_0097_AHJN5KBBXX_foreman/Foreman_936	Foreman_936_hiseq4000	
